date,session_key,meeting_key,driver_number,position,timestamp,name_acronym,team_name,team_colour
2024-06-30 13:04:23.461000+00:00,9550,1239,77,16,13:04:23.461000,BOT,Kick Sauber,52e252
2024-06-30 13:04:23.641000+00:00,9550,1239,16,18,13:04:23.641000,LEC,Ferrari,E80020
2024-06-30 13:04:23.641000+00:00,9550,1239,18,17,13:04:23.641000,STR,Aston Martin,229971
2024-06-30 13:04:26.654000+00:00,9550,1239,2,20,13:04:26.654000,SAR,Williams,64C4FF
2024-06-30 13:04:26.654000+00:00,9550,1239,24,19,13:04:26.654000,ZHO,Kick Sauber,52e252
2024-06-30 13:05:31.232000+00:00,9550,1239,27,8,13:05:31.232000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:05:31.232000+00:00,9550,1239,31,9,13:05:31.232000,OCO,Alpine,0093cc
2024-06-30 13:05:34.322000+00:00,9550,1239,14,14,13:05:34.322000,ALO,Aston Martin,229971
2024-06-30 13:05:34.322000+00:00,9550,1239,22,13,13:05:34.322000,TSU,RB,6692FF
2024-06-30 13:05:35.958000+00:00,9550,1239,18,16,13:05:35.958000,STR,Aston Martin,229971
2024-06-30 13:05:35.958000+00:00,9550,1239,77,17,13:05:35.958000,BOT,Kick Sauber,52e252
2024-06-30 13:05:38.278000+00:00,9550,1239,16,19,13:05:38.278000,LEC,Ferrari,E80020
2024-06-30 13:05:38.278000+00:00,9550,1239,24,18,13:05:38.278000,ZHO,Kick Sauber,52e252
2024-06-30 13:10:11.227000+00:00,9550,1239,44,5,13:10:11.227000,HAM,Mercedes,27F4D2
2024-06-30 13:10:11.227000+00:00,9550,1239,55,4,13:10:11.227000,SAI,Ferrari,E80020
2024-06-30 13:11:24.561000+00:00,9550,1239,11,7,13:11:24.561000,PER,Red Bull Racing,3671C6
2024-06-30 13:11:24.561000+00:00,9550,1239,81,6,13:11:24.561000,PIA,McLaren,FF8000
2024-06-30 13:15:04.310000+00:00,9550,1239,10,10,13:15:04.310000,GAS,Alpine,0093cc
2024-06-30 13:15:04.310000+00:00,9550,1239,20,11,13:15:04.310000,MAG,Haas F1 Team,B6BABD
2024-06-30 13:15:06.374000+00:00,9550,1239,3,13,13:15:06.374000,RIC,RB,6692FF
2024-06-30 13:15:06.374000+00:00,9550,1239,20,12,13:15:06.374000,MAG,Haas F1 Team,B6BABD
2024-06-30 13:15:06.374000+00:00,9550,1239,22,11,13:15:06.374000,TSU,RB,6692FF
2024-06-30 13:15:07.335000+00:00,9550,1239,3,14,13:15:07.335000,RIC,RB,6692FF
2024-06-30 13:15:07.335000+00:00,9550,1239,14,13,13:15:07.335000,ALO,Aston Martin,229971
2024-06-30 13:16:14.474000+00:00,9550,1239,27,9,13:16:14.474000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:16:14.474000+00:00,9550,1239,31,8,13:16:14.474000,OCO,Alpine,0093cc
2024-06-30 13:16:16.149000+00:00,9550,1239,10,9,13:16:16.149000,GAS,Alpine,0093cc
2024-06-30 13:16:16.149000+00:00,9550,1239,27,10,13:16:16.149000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:16:19.932000+00:00,9550,1239,3,15,13:16:19.932000,RIC,RB,6692FF
2024-06-30 13:16:19.932000+00:00,9550,1239,14,14,13:16:19.932000,ALO,Aston Martin,229971
2024-06-30 13:16:19.932000+00:00,9550,1239,20,13,13:16:19.932000,MAG,Haas F1 Team,B6BABD
2024-06-30 13:16:19.932000+00:00,9550,1239,23,12,13:16:19.932000,ALB,Williams,64C4FF
2024-06-30 13:16:20.663000+00:00,9550,1239,3,16,13:16:20.663000,RIC,RB,6692FF
2024-06-30 13:16:20.663000+00:00,9550,1239,14,15,13:16:20.663000,ALO,Aston Martin,229971
2024-06-30 13:16:20.663000+00:00,9550,1239,18,13,13:16:20.663000,STR,Aston Martin,229971
2024-06-30 13:16:20.663000+00:00,9550,1239,20,14,13:16:20.663000,MAG,Haas F1 Team,B6BABD
2024-06-30 13:16:22.522000+00:00,9550,1239,14,14,13:16:22.522000,ALO,Aston Martin,229971
2024-06-30 13:16:22.522000+00:00,9550,1239,20,15,13:16:22.522000,MAG,Haas F1 Team,B6BABD
2024-06-30 13:16:22.762000+00:00,9550,1239,3,17,13:16:22.762000,RIC,RB,6692FF
2024-06-30 13:16:22.762000+00:00,9550,1239,20,16,13:16:22.762000,MAG,Haas F1 Team,B6BABD
2024-06-30 13:16:22.762000+00:00,9550,1239,77,15,13:16:22.762000,BOT,Kick Sauber,52e252
2024-06-30 13:16:26.784000+00:00,9550,1239,3,18,13:16:26.784000,RIC,RB,6692FF
2024-06-30 13:16:26.784000+00:00,9550,1239,20,17,13:16:26.784000,MAG,Haas F1 Team,B6BABD
2024-06-30 13:16:26.784000+00:00,9550,1239,24,16,13:16:26.784000,ZHO,Kick Sauber,52e252
2024-06-30 13:17:30.220000+00:00,9550,1239,22,10,13:17:30.220000,TSU,RB,6692FF
2024-06-30 13:17:30.220000+00:00,9550,1239,27,11,13:17:30.220000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:17:32.843000+00:00,9550,1239,18,11,13:17:32.843000,STR,Aston Martin,229971
2024-06-30 13:17:32.843000+00:00,9550,1239,23,13,13:17:32.843000,ALB,Williams,64C4FF
2024-06-30 13:17:32.843000+00:00,9550,1239,27,12,13:17:32.843000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:17:34.473000+00:00,9550,1239,23,12,13:17:34.473000,ALB,Williams,64C4FF
2024-06-30 13:17:34.473000+00:00,9550,1239,27,13,13:17:34.473000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:17:34.834000+00:00,9550,1239,14,15,13:17:34.834000,ALO,Aston Martin,229971
2024-06-30 13:17:34.834000+00:00,9550,1239,27,14,13:17:34.834000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:17:34.834000+00:00,9550,1239,77,13,13:17:34.834000,BOT,Kick Sauber,52e252
2024-06-30 13:17:39.153000+00:00,9550,1239,14,16,13:17:39.153000,ALO,Aston Martin,229971
2024-06-30 13:17:39.153000+00:00,9550,1239,24,14,13:17:39.153000,ZHO,Kick Sauber,52e252
2024-06-30 13:17:39.153000+00:00,9550,1239,27,15,13:17:39.153000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:17:45.479000+00:00,9550,1239,14,17,13:17:45.479000,ALO,Aston Martin,229971
2024-06-30 13:17:45.479000+00:00,9550,1239,20,15,13:17:45.479000,MAG,Haas F1 Team,B6BABD
2024-06-30 13:17:45.479000+00:00,9550,1239,27,16,13:17:45.479000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:17:47.161000+00:00,9550,1239,3,17,13:17:47.161000,RIC,RB,6692FF
2024-06-30 13:17:47.161000+00:00,9550,1239,14,18,13:17:47.161000,ALO,Aston Martin,229971
2024-06-30 13:18:46.873000+00:00,9550,1239,23,13,13:18:46.873000,ALB,Williams,64C4FF
2024-06-30 13:18:46.873000+00:00,9550,1239,77,12,13:18:46.873000,BOT,Kick Sauber,52e252
2024-06-30 13:18:51.382000+00:00,9550,1239,23,14,13:18:51.382000,ALB,Williams,64C4FF
2024-06-30 13:18:51.382000+00:00,9550,1239,24,13,13:18:51.382000,ZHO,Kick Sauber,52e252
2024-06-30 13:18:56.538000+00:00,9550,1239,20,16,13:18:56.538000,MAG,Haas F1 Team,B6BABD
2024-06-30 13:18:56.538000+00:00,9550,1239,23,15,13:18:56.538000,ALB,Williams,64C4FF
2024-06-30 13:18:56.538000+00:00,9550,1239,27,14,13:18:56.538000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:18:57.314000+00:00,9550,1239,20,15,13:18:57.314000,MAG,Haas F1 Team,B6BABD
2024-06-30 13:18:57.314000+00:00,9550,1239,23,16,13:18:57.314000,ALB,Williams,64C4FF
2024-06-30 13:18:58.540000+00:00,9550,1239,3,16,13:18:58.540000,RIC,RB,6692FF
2024-06-30 13:18:58.540000+00:00,9550,1239,23,17,13:18:58.540000,ALB,Williams,64C4FF
2024-06-30 13:19:01.215000+00:00,9550,1239,14,17,13:19:01.215000,ALO,Aston Martin,229971
2024-06-30 13:19:01.215000+00:00,9550,1239,23,18,13:19:01.215000,ALB,Williams,64C4FF
2024-06-30 13:19:03.087000+00:00,9550,1239,16,18,13:19:03.087000,LEC,Ferrari,E80020
2024-06-30 13:19:03.087000+00:00,9550,1239,23,19,13:19:03.087000,ALB,Williams,64C4FF
2024-06-30 13:20:14.810000+00:00,9550,1239,16,19,13:20:14.810000,LEC,Ferrari,E80020
2024-06-30 13:20:14.810000+00:00,9550,1239,23,18,13:20:14.810000,ALB,Williams,64C4FF
2024-06-30 13:24:53.171000+00:00,9550,1239,24,14,13:24:53.171000,ZHO,Kick Sauber,52e252
2024-06-30 13:24:53.171000+00:00,9550,1239,27,13,13:24:53.171000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:24:54.117000+00:00,9550,1239,20,14,13:24:54.117000,MAG,Haas F1 Team,B6BABD
2024-06-30 13:24:54.117000+00:00,9550,1239,24,15,13:24:54.117000,ZHO,Kick Sauber,52e252
