date,session_key,z,x,driver_number,meeting_key,y
2024-06-30T13:00:00.263000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:00.643000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:00.843000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:01.063000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:01.243000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:01.644000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:01.824000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:01.984000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:02.224000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:02.424000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:02.624000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:02.904000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:03.284000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:03.724000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:03.903000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:04.123000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:04.443000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:04.783000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:04.983000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:05.263000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:05.463000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:05.783000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:06.003000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:06.363000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:06.743000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:07.063000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:07.303000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:07.663000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:07.723000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:08.044000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:08.284000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:08.444000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:08.704000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:08.864000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:09.204000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:09.544000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:09.784000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:10.044000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:10.344000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:10.683000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:10.943000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:11.163000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:11.323000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:11.583000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:11.703000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:11.963000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:12.123000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:12.603000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:12.723000+00:00,9550,7221,1877,10,1239,-999
2024-06-30T13:00:13.043000+00:00,9550,7220,1862,10,1239,-1003
2024-06-30T13:00:13.463000+00:00,9550,7220,1835,10,1239,-1010
2024-06-30T13:00:13.723000+00:00,9550,7220,1809,10,1239,-1017
2024-06-30T13:00:13.963000+00:00,9550,7219,1780,10,1239,-1025
2024-06-30T13:00:14.183000+00:00,9550,7218,1749,10,1239,-1034
2024-06-30T13:00:14.403000+00:00,9550,7218,1713,10,1239,-1043
2024-06-30T13:00:14.644000+00:00,9550,7217,1669,10,1239,-1055
2024-06-30T13:00:14.864000+00:00,9550,7216,1595,10,1239,-1075
2024-06-30T13:00:15.304000+00:00,9550,7216,1495,10,1239,-1102
2024-06-30T13:00:15.684000+00:00,9550,7215,1432,10,1239,-1119
2024-06-30T13:00:15.924000+00:00,9550,7215,1365,10,1239,-1137
2024-06-30T13:00:16.224000+00:00,9550,7215,1304,10,1239,-1154
2024-06-30T13:00:16.564000+00:00,9550,7215,1209,10,1239,-1179
2024-06-30T13:00:16.964000+00:00,9550,7215,1146,10,1239,-1196
2024-06-30T13:00:17.323000+00:00,9550,7215,1093,10,1239,-1211
2024-06-30T13:00:17.503000+00:00,9550,7215,1066,10,1239,-1218
2024-06-30T13:00:17.823000+00:00,9550,7214,1021,10,1239,-1230
2024-06-30T13:00:17.883000+00:00,9550,7214,1013,10,1239,-1232
2024-06-30T13:00:18.203000+00:00,9550,7215,972,10,1239,-1243
2024-06-30T13:00:18.423000+00:00,9550,7214,928,10,1239,-1255
